
Packet Number, One-way delay(s), One-way delay(ns), Running Avg.(ns), Worst-case(ns)
1, 0, 1953004, 1953004, 0
2, 0, 1574811, 1763908, 0
2, 1, 1148977397, 1763908, 0
3, 0, 1496857, 1674891, 0
4, 0, 1468556, 1623308, 0
5, 0, 1469267, 1592500, 0
6, 0, 1475550, 1573009, 0
7, 0, 1525479, 1566219, 0
8, 0, 1639886, 1575427, 0
9, 0, 1659034, 1584716, 0
10, 0, 1605995, 1586843, 1605995
11, 0, 1791809, 1605476, 1791809
12, 0, 916429, 1548056, 1791809
13, 0, 897609, 1498022, 1791809
14, 0, 2191021, 1547521, 2191021
15, 0, 1646422, 1554114, 2191021
16, 0, 1613226, 1557808, 2191021
17, 0, 1753102, 1569295, 2191021
18, 0, 1259961, 1552110, 2191021
19, 0, 1251243, 1536275, 2191021
20, 0, 1239975, 1521460, 2191021
21, 0, 1263758, 1509189, 2191021
22, 0, 1244730, 1497169, 2191021
23, 0, 1225543, 1485360, 2191021
24, 0, 1259535, 1475951, 2191021
25, 0, 1262485, 1467413, 2191021
26, 0, 1256945, 1459319, 2191021
27, 0, 1247135, 1451461, 2191021
28, 0, 1288262, 1445633, 2191021
29, 0, 1278763, 1439879, 2191021
30, 0, 1052740, 1426975, 2191021
31, 0, 850147, 1408368, 2191021
32, 0, 870055, 1391546, 2191021
33, 0, 846927, 1375043, 2191021
34, 0, 858747, 1359858, 2191021
35, 0, 858483, 1345533, 2191021
36, 0, 974415, 1335225, 2191021
37, 0, 844153, 1321953, 2191021
38, 0, 891858, 1310635, 2191021
39, 0, 848575, 1298788, 2191021
40, 0, 868987, 1288043, 2191021
41, 0, 864609, 1277716, 2191021
42, 0, 850074, 1267535, 2191021
43, 0, 858039, 1258012, 2191021
44, 0, 853193, 1248812, 2191021
45, 0, 848814, 1239924, 2191021
46, 0, 899018, 1232513, 2191021
47, 0, 938701, 1226262, 2191021
48, 0, 854169, 1218511, 2191021
49, 0, 857551, 1211145, 2191021
50, 0, 848694, 1203896, 2191021
51, 0, 890043, 1197743, 2191021
52, 0, 858999, 1191229, 2191021
53, 0, 858267, 1184947, 2191021
54, 0, 844254, 1178638, 2191021
55, 0, 868208, 1172994, 2191021
56, 0, 844663, 1167131, 2191021
57, 0, 848253, 1161537, 2191021
58, 0, 860958, 1156355, 2191021
59, 0, 850747, 1151176, 2191021
60, 0, 858035, 1146291, 2191021
61, 0, 844647, 1141347, 2191021
